family,setting,confidence_floor,external_class_aware_nms_iou,per_image_max_detections,operating_confidence_for_PRF1,matching_iou_for_PRF1,retained_predictions,avg_retained_detections_per_image,mAP_50_95,AP50,AP75,AR1,AR10,AR100,TP,FP,FN,precision,recall,F1,scenario,evaluated_images
confidence,conf_0.050,0.05,none,300,0.05,0.5,32588,162.94,0.1831854505899303,0.34181603617693457,0.17120587060601594,0.18580461910970386,0.33163822591183373,0.37990709451968535,456,8229,135,0.052504317789291884,0.7715736040609137,0.0983182406209573,night_lowlight,50
confidence,conf_0.050,0.05,none,300,0.05,0.5,32588,162.94,0.2218720606563976,0.4507653226506474,0.1554454984226356,0.2334447882411408,0.391933946499296,0.42301541214611127,664,7732,135,0.07908527870414483,0.8310387984981227,0.14442631865144098,small_distant,50
confidence,conf_0.100,0.1,none,300,0.1,0.5,13380,66.9,0.27910781003074264,0.5037829086512664,0.2815405140800426,0.22699729918061198,0.38909570404607,0.42509193105746085,997,3385,327,0.22752167959835692,0.7530211480362538,0.3494567122327375,crowded_occluded,50
confidence,conf_0.100,0.1,none,300,0.1,0.5,13380,66.9,0.41544246188603384,0.6154261414038995,0.42568811270006757,0.32205404148974603,0.5336130851212929,0.5408113132497536,316,1729,37,0.1545232273838631,0.8951841359773371,0.26355296080066726,daytime_normal,50
confidence,conf_0.100,0.1,none,300,0.1,0.5,13380,66.9,0.18134365577380607,0.33781914311326927,0.1694395961807809,0.1413601746652594,0.2792450635186713,0.3162383701851014,416,3040,175,0.12037037037037036,0.7038917089678511,0.20558438349394612,night_lowlight,50
confidence,conf_0.100,0.1,none,300,0.1,0.5,13380,66.9,0.2206702798716091,0.4481014125022719,0.15399652475402809,0.2334447882411408,0.3800147228657867,0.4034950662306285,624,2873,175,0.17843866171003717,0.7809762202753442,0.2905027932960894,small_distant,50
confidence,conf_0.200,0.2,none,300,0.2,0.5,4730,23.65,0.2580117219857453,0.46375736631590675,0.2686596404267473,0.2036466465836152,0.3064309478548796,0.3261969103661128,821,835,503,0.49577294685990336,0.6200906344410876,0.5510067114093959,crowded_occluded,50
confidence,conf_0.200,0.2,none,300,0.2,0.5,4730,23.65,0.4037923944801188,0.5746235992571274,0.4240617412103345,0.28872070815641265,0.4747365288610158,0.4751566969282427,300,421,53,0.4160887656033287,0.8498583569405099,0.558659217877095,daytime_normal,50
confidence,conf_0.200,0.2,none,300,0.2,0.5,4730,23.65,0.1737557626100407,0.3141835712715773,0.16838376482383507,0.11636017466525941,0.25130475658320695,0.2611585394696775,347,730,244,0.32219127205199627,0.5871404399323181,0.4160671462829736,night_lowlight,50
confidence,conf_0.200,0.2,none,300,0.2,0.5,4730,23.65,0.2106548908294604,0.4222634023642592,0.14198945374050143,0.20640397191461018,0.3209650622933298,0.331483115668526,530,746,269,0.4153605015673981,0.6633291614518148,0.5108433734939759,small_distant,50
