recall,precision,model
0.77,0.0,yolo
0.78,0.0,yolo
0.79,0.0,yolo
0.8,0.0,yolo
0.81,0.0,yolo
0.8200000000000001,0.0,yolo
0.8300000000000001,0.0,yolo
0.84,0.0,yolo
0.85,0.0,yolo
0.86,0.0,yolo
0.87,0.0,yolo
0.88,0.0,yolo
0.89,0.0,yolo
0.9,0.0,yolo
0.91,0.0,yolo
0.92,0.0,yolo
0.93,0.0,yolo
0.9400000000000001,0.0,yolo
0.9500000000000001,0.0,yolo
0.96,0.0,yolo
0.97,0.0,yolo
0.98,0.0,yolo
0.99,0.0,yolo
1.0,0.0,yolo
0.0,0.9285714285714286,rtdetr
0.01,0.9116282726629452,rtdetr
0.02,0.8768297378644104,rtdetr
0.03,0.8748317358664084,rtdetr
0.04,0.8748317358664084,rtdetr
0.05,0.8744258917105643,rtdetr
0.06,0.8731667342014068,rtdetr
0.07,0.8699494346233477,rtdetr
0.08,0.8659679089026915,rtdetr
0.09,0.8597567287784679,rtdetr
0.1,0.8574007639037624,rtdetr
0.11,0.8571206518589445,rtdetr
0.12,0.8545240129291853,rtdetr
0.13,0.8445437233766275,rtdetr
0.14,0.8385112002082414,rtdetr
0.15,0.8379156519316092,rtdetr
0.16,0.8334986688799206,rtdetr
0.17,0.8313290657676624,rtdetr
0.18,0.8263687483073449,rtdetr
0.19,0.8263064944048034,rtdetr
0.2,0.8254694546879782,rtdetr
0.21,0.825322765284454,rtdetr
0.22,0.7578423661380211,rtdetr
0.23,0.7568901387575947,rtdetr
0.24,0.7546905650603933,rtdetr
0.25,0.7422908319003122,rtdetr
0.26,0.7415190946339771,rtdetr
0.27,0.738797219347393,rtdetr
0.28,0.737892431696641,rtdetr
0.29,0.7353896456091882,rtdetr
0.3,0.7325651427218268,rtdetr
0.31,0.7310627325414141,rtdetr
0.32,0.73018325393817,rtdetr
0.33,0.7248758905394742,rtdetr
0.34,0.7191514970044184,rtdetr
0.35000000000000003,0.7170423826681915,rtdetr
0.36,0.6950547491984711,rtdetr
0.37,0.6908241322930511,rtdetr
0.38,0.6756206039581628,rtdetr
0.39,0.6690112927520797,rtdetr
0.4,0.6479627472021672,rtdetr
0.41000000000000003,0.6230800272922747,rtdetr
0.42,0.612243092864117,rtdetr
0.43,0.5865438159592122,rtdetr
0.44,0.5806898598552482,rtdetr
0.45,0.5674853839903747,rtdetr
0.46,0.5520844798442799,rtdetr
0.47000000000000003,0.5457959150335889,rtdetr
0.48,0.5443238260704292,rtdetr
0.49,0.5297573485397322,rtdetr
0.5,0.5276804491028185,rtdetr
0.51,0.43565087611388387,rtdetr
0.52,0.42223506497957974,rtdetr
0.53,0.41726848824960056,rtdetr
0.54,0.41151520398451075,rtdetr
0.55,0.40398442750074454,rtdetr
0.56,0.3901107450702527,rtdetr
0.5700000000000001,0.38401289482933537,rtdetr
0.58,0.37432646246294604,rtdetr
0.59,0.32733966257772223,rtdetr
0.6,0.31853019463734,rtdetr
0.61,0.2949693846368765,rtdetr
0.62,0.2874713674224827,rtdetr
0.63,0.2805631033472443,rtdetr
0.64,0.265611652249736,rtdetr
0.65,0.25226410803608185,rtdetr
0.66,0.2440212770649933,rtdetr
0.67,0.1745430568732825,rtdetr
0.68,0.1619806315293381,rtdetr
0.6900000000000001,0.15561892810846475,rtdetr
0.7000000000000001,0.1476699130861471,rtdetr
0.71,0.14200343117252964,rtdetr
0.72,0.1345697120636689,rtdetr
0.73,0.12459711448764874,rtdetr
0.74,0.11686491750235244,rtdetr
0.75,0.10700944555391645,rtdetr
0.76,0.0959653315606765,rtdetr
0.77,0.09264249297539238,rtdetr
0.78,0.08609261562844625,rtdetr
0.79,0.07941243892771953,rtdetr
0.8,0.07609346863769487,rtdetr
0.81,0.07244941576261728,rtdetr
0.8200000000000001,0.06778340676456829,rtdetr
0.8300000000000001,0.06479839714349053,rtdetr
0.84,0.04609500272516631,rtdetr
0.85,0.02576112412177986,rtdetr
0.86,0.02576112412177986,rtdetr
0.87,0.02576112412177986,rtdetr
0.88,0.02576112412177986,rtdetr
0.89,0.02576112412177986,rtdetr
0.9,0.02576112412177986,rtdetr
0.91,0.02576112412177986,rtdetr
0.92,0.02414486921529175,rtdetr
0.93,0.02414486921529175,rtdetr
0.9400000000000001,0.02414486921529175,rtdetr
0.9500000000000001,0.02414486921529175,rtdetr
0.96,0.02414486921529175,rtdetr
0.97,0.02414486921529175,rtdetr
0.98,0.02414486921529175,rtdetr
0.99,0.02414486921529175,rtdetr
1.0,0.02414486921529175,rtdetr
